---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\Data\SC\Tmp\SC_ngait_og5-output-euler-leftlegtd.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
2.783333333333333e+000 -1.027068897110327e+000 -7.588522996740976e-002 1.526709374526487e+000 -7.911900883750724e-001 -3.516565372825671e-001 5.898471054191424e-001
2.791666666666666e+000 -1.032887533137221e+000 -7.186523360793662e-002 1.526462356484099e+000 -7.456419399944186e-001 -3.561963919856839e-001 5.916311431070200e-001
2.799999999999999e+000 -1.037555388710236e+000 -6.814738429192180e-002 1.525345512903483e+000 -6.980340391906976e-001 -3.619090911252221e-001 5.920362175134027e-001
2.808333333333333e+000 -1.040995560102563e+000 -6.470806498140913e-002 1.523215075680804e+000 -6.485097557285799e-001 -3.684072446349546e-001 5.909522657378052e-001
2.816666666666666e+000 -1.043111236255444e+000 -6.150166631481269e-002 1.519951204774304e+000 -5.972185064018256e-001 -3.752747573887156e-001 5.881813600901047e-001
2.824999999999999e+000 -1.043801225477597e+000 -5.846516290467441e-002 1.515479724010853e+000 -5.443440003110083e-001 -3.820810075824020e-001 5.834722356340639e-001
2.833333333333333e+000 -1.042988716306359e+000 -5.552619076352738e-002 1.509797304602729e+000 -4.901427177185411e-001 -3.883931846418016e-001 5.765755735236807e-001
2.841666666666666e+000 -1.040658689076618e+000 -5.261172231557532e-002 1.502996634657351e+000 -4.349843463324762e-001 -3.937820902217941e-001 5.673035915950146e-001
2.849999999999999e+000 -1.036892412481905e+000 -4.965854741808951e-002 1.495281977555155e+000 -3.793878801440133e-001 -3.978277202511990e-001 5.555851409198178e-001
2.858333333333333e+000 -1.031889716769007e+000 -4.662631573722798e-002 1.486962875526366e+000 -3.240493165989977e-001 -4.001337793017037e-001 5.415084261576993e-001
2.866666666666666e+000 -1.025970602929850e+000 -4.350608743827511e-002 1.478420481299990e+000 -2.698479759785089e-001 -4.003591756309483e-001 5.253426365839847e-001
2.874999999999999e+000 -1.019546665905795e+000 -4.031410592908746e-002 1.470055347556837e+000 -2.178112821833441e-001 -3.982732300398243e-001 5.075396764156610e-001
2.883333333333332e+000 -1.013063656849462e+000 -3.706933355107989e-002 1.462238767501240e+000 -1.690331116997368e-001 -3.938301955760334e-001 4.887270533672901e-001
2.891666666666666e+000 -1.006932898224029e+000 -3.376711652625608e-002 1.455281618045775e+000 -1.245693258428502e-001 -3.872315896627135e-001 4.696886414237808e-001
2.899999999999999e+000 -1.001471434536028e+000 -3.036306627772634e-002 1.449419842501794e+000 -8.533896272254000e-002 -3.789415305530901e-001 4.513227822616526e-001
2.908333333333332e+000 -9.968669656177343e-001 -2.677185073669941e-002 1.444818832057347e+000 -5.204656856721741e-002 -3.696510757449377e-001 4.345839332233235e-001
2.916666666666666e+000 -9.931619173224374e-001 -2.288404383405718e-002 1.441581153876250e+000 -2.512810790415987e-002 -3.601935050790345e-001 4.203828536684250e-001
2.924999999999999e+000 -9.902875105243792e-001 -1.858827939845242e-002 1.439746584371252e+000 -4.744846710340753e-003 -3.514188426212435e-001 4.094349483784754e-001
2.933333333333332e+000 -9.880782896325636e-001 -1.380011813942272e-002 1.439260313058602e+000 9.219836384808680e-003 -3.440698027498926e-001 4.020797150797121e-001
2.941666666666666e+000 -9.862957144461023e-001 -8.475144834324544e-003 1.439948280795419e+000 1.715160560197239e-002 -3.387075954331317e-001 3.981796743306332e-001
2.949999999999999e+000 -9.846491333119034e-001 -2.611351966606446e-003 1.441516765251708e+000 1.968602605236721e-002 -3.356897538007539e-001 3.971388339596030e-001
2.958333333333332e+000 -9.828291854362697e-001 3.751421370626673e-003 1.443598271894837e+000 1.765786565236277e-002 -3.351875305579867e-001 3.980538636787645e-001
2.966666666666666e+000 -9.805515604665869e-001 1.053282646076759e-002 1.445832486913326e+000 1.201854400839633e-002 -3.372275282518217e-001 3.999470720053254e-001
2.974999999999999e+000 -9.775935607746112e-001 1.761910970606739e-002 1.447938217828176e+000 3.743793714927959e-003 -3.417319536309136e-001 4.019744455421799e-001
2.983333333333332e+000 -9.738097505338492e-001 2.487711567575568e-002 1.449745525048371e+000 -6.254277844570802e-003 -3.485386867155288e-001 4.035388797598689e-001
2.991666666666665e+000 -9.691303217961051e-001 3.218202551876148e-002 1.451232806764044e+000 -1.717219375814933e-002 -3.574543329267618e-001 4.043660787557100e-001
2.999999999999999e+000 -9.635425782137839e-001 3.943251278657201e-002 1.452477723331975e+000 -2.838575060519053e-002 -3.682254468162968e-001 4.044572405419533e-001
3.008333333333332e+000 -9.570813734611111e-001 4.656645953838146e-002 1.453640534634815e+000 -3.945251805003316e-002 -3.805406636450456e-001 4.040521965572203e-001
3.016666666666665e+000 -9.498171829183953e-001 5.356046069233966e-002 1.454899793059103e+000 -5.011059611700881e-002 -3.939765526236011e-001 4.034979490455124e-001
3.024999999999999e+000 -9.418482161828918e-001 6.042044288238180e-002 1.456390082059510e+000 -6.025842946035954e-002 -4.079573074440440e-001 4.030867750806175e-001
3.033333333333332e+000 -9.332929541991715e-001 6.716751977481628e-002 1.458165546408997e+000 -6.991998985780712e-002 -4.217646187726841e-001 4.029375966168164e-001
3.041666666666665e+000 -9.242806383656502e-001 7.382435300491452e-002 1.460203252008645e+000 -7.919517671046829e-002 -4.346091267117237e-001 4.029750941516593e-001
3.049999999999999e+000 -9.149395543075453e-001 8.040412066096381e-002 1.462431586977238e+000 -8.820345470226872e-002 -4.457384380788743e-001 4.029882528734162e-001
3.058333333333332e+000 -9.053830321439504e-001 8.690311948317531e-002 1.464764229197237e+000 -9.702999970119298e-002 -4.545500778571831e-001 4.027274916456372e-001
3.066666666666665e+000 -8.956929156265463e-001 9.329960131788395e-002 1.467131814279601e+000 -1.056813323801352e-001 -4.606812435164053e-001 4.020074208341092e-001
3.074999999999998e+000 -8.859036208914620e-001 9.955941395172441e-002 1.469506783362369e+000 -1.140609240037592e-001 -4.640488691860134e-001 4.007776837955946e-001
3.083333333333332e+000 -8.759929425047032e-001 1.056447458314216e-001 1.471917251506196e+000 -1.219726184919466e-001 -4.648336443902690e-001 3.991392298635555e-001
3.091666666666665e+000 -8.658860774108240e-001 1.115217202287333e-001 1.474448729395993e+000 -1.291486963417057e-001 -4.634254148560328e-001 3.973187357160189e-001
3.099999999999998e+000 -8.554733208685784e-001 1.171647988263265e-001 1.477232791592447e+000 -1.352928388050349e-001 -4.603487690791393e-001 3.956255974076735e-001
3.108333333333332e+000 -8.446356131046071e-001 1.225559814845096e-001 1.480421607171680e+000 -1.401263490308616e-001 -4.561817404199308e-001 3.944022407935480e-001
3.116666666666665e+000 -8.332754408022358e-001 1.276778527104394e-001 1.484149354334608e+000 -1.434295246883641e-001 -4.514806526202662e-001 3.939711854971493e-001
3.124999999999998e+000 -8.213483215972071e-001 1.325046747118275e-001 1.488488736351965e+000 -1.450760567316272e-001 -4.467189803047499e-001 3.945847375575016e-001
3.133333333333332e+000 -8.088793110985152e-001 1.369975803919725e-001 1.493421025580922e+000 -1.450545792833863e-001 -4.422426591140412e-001 3.963823678235174e-001
3.141666666666665e+000 -7.959536816543866e-001 1.411064377237661e-001 1.498833585916056e+000 -1.434677952261557e-001 -4.382470928231242e-001 3.993618246437382e-001
3.149999999999998e+000 -7.826908461397152e-001 1.447772407952770e-001 1.504540390530459e+000 -1.405114015083832e-001 -4.347792283054103e-001 4.033733897912635e-001
3.158333333333331e+000 -7.692081151754077e-001 1.479630186470384e-001 1.510315325467115e+000 -1.364325013945857e-001 -4.317691494345179e-001 4.081441687077152e-001
3.166666666666665e+000 -7.556068705620311e-001 1.506308471955984e-001 1.515927817313568e+000 -1.315044542429977e-001 -4.290641673294939e-001 4.133214994732617e-001
3.174999999999998e+000 -7.419584076162012e-001 1.527653152043769e-001 1.521177344853402e+000 -1.259891153247264e-001 -4.264766791776190e-001 4.185272179195154e-001
3.183333333333331e+000 -7.283074844672529e-001 1.543697443047818e-001 1.525917280222245e+000 -1.201126407826391e-001 -4.238249668537685e-001 4.234124079604807e-001
3.191666666666665e+000 -7.146833355861290e-001 1.554659074133498e-001 1.530063646822982e+000 -1.140519241735587e-001 -4.209623763067881e-001 4.277017473765256e-001
