---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\Data\SC\Tmp\SC_hip_rstar1-output-euler-pelvis.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
1.666666666666667e-001 -2.881005052031284e-001 9.165279853331305e-002 1.024499873177829e+000 1.535491136811933e+000 1.106605644032038e+000 1.574420529473861e+000
1.750000000000000e-001 -2.876612236589315e-001 9.139945131223073e-002 1.024461401123711e+000 1.536107443560899e+000 1.106394910063739e+000 1.574725170779611e+000
1.833333333333333e-001 -2.872277499104198e-001 9.115706526875142e-002 1.024414543560325e+000 1.536718960162859e+000 1.106129165325797e+000 1.574971250059694e+000
1.916666666666667e-001 -2.868007282840647e-001 9.092641502676666e-002 1.024360152568152e+000 1.537341075899018e+000 1.105825226287087e+000 1.575177794368299e+000
2.000000000000000e-001 -2.863807590169779e-001 9.070817264604139e-002 1.024299410383792e+000 1.537992221438308e+000 1.105502669943785e+000 1.575370385954959e+000
2.083333333333333e-001 -2.859685624566815e-001 9.050287676287411e-002 1.024234028747555e+000 1.538688004637131e+000 1.105182404605902e+000 1.575574000726044e+000
2.166666666666667e-001 -2.855651026379445e-001 9.031087571993232e-002 1.024166418230871e+000 1.539434113178031e+000 1.104885410921285e+000 1.575803758787551e+000
2.250000000000000e-001 -2.851715772781424e-001 9.013224078333466e-002 1.024099569522608e+000 1.540222442965464e+000 1.104630554313327e+000 1.576058989597928e+000
2.333333333333333e-001 -2.847893004753285e-001 8.996669198665447e-002 1.024036537133795e+000 1.541033547178885e+000 1.104431046731277e+000 1.576324748548484e+000
2.416666666666666e-001 -2.844195409362276e-001 8.981356400157130e-002 1.023979797958087e+000 1.541842893036080e+000 1.104291399120541e+000 1.576578127795120e+000
2.500000000000000e-001 -2.840633690727624e-001 8.967178734494286e-002 1.023930832089636e+000 1.542626413809012e+000 1.104206734564197e+000 1.576794356174970e+000
2.583333333333333e-001 -2.837221392559735e-001 8.953978221587587e-002 1.023889789305501e+000 1.543368769987925e+000 1.104161659975480e+000 1.576959159403682e+000
2.666666666666667e-001 -2.833951361476407e-001 8.941596985401681e-002 1.023856453874984e+000 1.544045583226924e+000 1.104143909469142e+000 1.577039708754703e+000
2.750000000000000e-001 -2.830831240387967e-001 8.929821453856367e-002 1.023829074207836e+000 1.544654192148172e+000 1.104130168174606e+000 1.577035395781583e+000
2.833333333333334e-001 -2.827862053280227e-001 8.918453428764214e-002 1.023805723418869e+000 1.545189061901359e+000 1.104101254451921e+000 1.576942100664064e+000
2.916666666666667e-001 -2.825045224077210e-001 8.907316676350693e-002 1.023784390785717e+000 1.545646657914084e+000 1.104041421805432e+000 1.576760808443006e+000
3.000000000000001e-001 -2.822382894081585e-001 8.896275032429889e-002 1.023763252738673e+000 1.546025049513367e+000 1.103939487702753e+000 1.576496942979930e+000
3.083333333333335e-001 -2.819877354561844e-001 8.885247170397942e-002 1.023740848928569e+000 1.546324865213199e+000 1.103789171271848e+000 1.576160350925615e+000
